AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,13.14611709,48.35096107,79.30573555,2.10915927,4.446196278,8.770006736000001,140.4142776
100.0,12.63425607,48.35785247,79.56154832,2.060060053,-15.21865797,8.714978549,143.06571200000002
100.0,12.12239505,48.36474388,79.81736109999999,2.012103819,-44.82972381,8.660295641,145.71714630000002
100.0,11.61053402,48.37163528,80.07317388,1.965263961,-87.36615727,8.605955846,148.36858069999997
100.0,11.098673,48.37852668,80.32898665,1.919514489,-146.3842729,8.551957011,151.020015
100.0,10.58681198,48.38541809,80.58479943,1.8748300219999998,-226.0891109,8.498296996,153.6714494
100.0,10.07495096,48.39230949,80.84061221,1.831185766,-331.41121119999997,8.444973676,156.32288369999998
100.0,9.563089937,48.3992009,81.09642498,1.788557507,-468.08876380000004,8.391984938,158.97431809999998
100.0,9.051228915,48.4060923,81.35223776,1.746921594,-642.7553067000001,8.339328682,161.6257524
100.0,8.539367893,48.41298371,81.60805054,1.706254924,-863.0331409,8.287002823,164.2771868
100.0,8.027506871,48.41987511,81.86386332,1.666534936,-1137.632633,8.235005287,166.92862119999998
100.0,7.515645848999999,48.42676652,82.11967609,1.627739592,-1476.457577,8.183334014,169.5800555
100.0,7.003784826,48.43365792,82.37548887,1.5898473659999999,-1890.7167829999999,8.131986957,172.23148989999999
