AccessToElectricity,CrudeBirthRate,FemalePopulationRatio,LifeExpectancy,DeathRate,CO2perCapita,InfantMortalityRate,Food
100.0,9.911444026,50.47557712,79.77036361,10.45004848,5.434084986,2.217941072,111.50769540000002
100.0,9.812474857,50.47507693,79.91288879999999,10.44958297,5.1435584080000005,2.134038414,112.33503859999999
100.0,9.713505689,50.47457673,80.055414,10.44911748,4.775312104,2.053309717,113.16238179999999
100.0,9.614536521,50.47407653,80.19793919,10.44865201,4.282428737,1.975634911,113.989725
100.0,9.515567353,50.47357634,80.34046438,10.44818657,3.60546901,1.9008984709999999,114.81706820000001
100.0,9.416598185,50.47307614,80.48298957,10.44772114,2.670675155,1.8289892419999998,115.64441129999999
100.0,9.317629017,50.47257594,80.62551476,10.44725573,1.388034996,1.7598002719999999,116.47175449999999
100.0,9.218659849,50.47207575,80.76803995,10.44679035,-0.350798071,1.693228657,117.29909769999999
100.0,9.119690681,50.47157555,80.91056514,10.44632498,-2.674733835,1.629175384,118.12644089999999
100.0,9.020721513,50.47107536,81.05309033,10.44585964,-5.73562743,1.567545187,118.95378410000001
100.0,8.921752345,50.47057516,81.19561552,10.44539431,-9.710819554,1.508246404,119.78112730000001
100.0,8.822783177,50.47007496,81.33814071,10.44492901,-14.80583941,1.4511908390000001,120.60847050000001
100.0,8.723814009,50.46957477,81.48066591,10.44446373,-21.25727502,1.3962936330000002,121.43581359999999
