Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Aruba,95.81660588,96.07002708,96.32344828,96.57686948,96.83029068,97.08371188,97.33713308,97.59055428,97.84397548,98.09739669,98.35081789,98.60423909,98.85766029
Afghanistan,78.16967359,81.68614958,85.20262557,88.71910156,92.23557755,95.75205353,99.26852952,102.7850055,106.3014815,109.8179575,113.3344335,116.8509095,120.3673855
Angola,42.36219113,43.45729749,44.55240385,45.64751021,46.74261658,47.83772294,48.9328293,50.02793566,51.12304203,52.21814839,53.31325475,54.40836111,55.50346748
Albania,100,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100
Arab World,90.79326967,91.40601897,92.01876828,92.63151758,93.24426688,93.85701618,94.46976548,95.08251479,95.69526409,96.30801339,96.92076269,97.53351199,98.1462613
United Arab Emirates,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,101.4292549,101.7945291,102.1598033,102.5250774,102.8903516,103.2556258,103.6209,103.9861742,104.3514483,104.7167225,105.0819967,105.4472709,105.8125451
Armenia,100.3243313,100.406288,100.4882448,100.5702015,100.6521583,100.734115,100.8160718,100.8980286,100.9799853,101.0619421,101.1438988,101.2258556,101.3078123
Antigua and Barbuda,97.9785897,98.42777098,98.87695226,99.32613354,99.77531481,100.2244961,100.6736774,101.1228586,101.5720399,102.0212212,102.4704025,102.9195838,103.368765
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,100.965247,101.1224489,101.2796508,101.4368527,101.5940546,101.7512565,101.9084585,102.0656604,102.2228623,102.3800642,102.5372661,102.694468,102.85167
Burundi,7.789335598,8.044380043,8.299424488,8.554468934,8.809513379,9.064557824,9.319602269,9.574646714,9.82969116,10.0847356,10.33978005,10.5948245,10.84986894
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100
Benin,43.62520913,44.91148926,46.19776939,47.48404952,48.77032966,50.05660979,51.34288992,52.62917005,53.91545018,55.20173032,56.48801045,57.77429058,59.06057071
Burkina Faso,20.05534256,20.66751021,21.27967787,21.89184552,22.50401318,23.11618083,23.72834849,24.34051615,24.9526838,25.56485146,26.17701911,26.78918677,27.40135442
Bangladesh,75.62634866,78.0218559,80.41736313,82.81287036,85.20837759,87.60388482,89.99939205,92.39489928,94.79040651,97.18591374,99.58142097,101.9769282,104.3724354
Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,100,100,100,100,100,100,100,100,100,100,100,100,100
"Bahamas, The",101.8451528,102.2098834,102.574614,102.9393447,103.3040753,103.6688059,104.0335365,104.3982671,104.7629977,105.1277283,105.4924589,105.8571895,106.2219201
Bosnia and Herzegovina,100.5997919,100.7142006,100.8286094,100.9430181,101.0574268,101.1718355,101.2862442,101.400653,101.5150617,101.6294704,101.7438791,101.8582878,101.9726966
Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100
