Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Aruba,7.977027198,7.588109391,7.199191584,6.810273778,6.421355971,6.032438164,5.643520357,5.25460255,4.865684743,4.476766937,4.08784913,3.698931323,3.310013516
Afghanistan,39.97630689,39.71859139,39.46087589,39.20316039,38.94544489,38.68772939,38.43001389,38.17229839,37.91458288,37.65686738,37.39915188,37.14143638,36.88372088
Angola,44.91337717,44.70980495,44.50623272,44.3026605,44.09908828,43.89551606,43.69194383,43.48837161,43.28479939,43.08122716,42.87765494,42.67408272,42.47051049
Albania,8.019995823,7.49413428,6.968272737,6.442411195,5.916549652,5.390688109,4.864826566,4.338965024,3.813103481,3.287241938,2.761380395,2.235518853,1.70965731
Arab World,22.89529429,22.44621608,21.99713787,21.54805966,21.09898144,20.64990323,20.20082502,19.75174681,19.3026686,18.85359039,18.40451217,17.95543396,17.50635575
United Arab Emirates,5.828017869,5.157323143,4.486628417,3.815933691,3.145238965,2.474544239,1.803849513,1.133154787,0.462460061,-0.208234665,-0.878929391,-1.549624117,-2.220318843
Argentina,17.62458684,17.49807073,17.37155462,17.24503851,17.11852239,16.99200628,16.86549017,16.73897406,16.61245795,16.48594184,16.35942573,16.23290962,16.1063935
Armenia,10.31428972,9.96584616,9.617402601,9.268959042,8.920515483,8.572071924,8.223628365,7.875184806,7.526741247,7.178297688,6.829854129,6.48141057,6.132967011
Antigua and Barbuda,13.69505795,13.39525462,13.09545129,12.79564796,12.49584463,12.1960413,11.89623796,11.59643463,11.2966313,10.99682797,10.69702464,10.39722131,10.09741798
Australia,10.98448366,10.82028224,10.65608082,10.4918794,10.32767797,10.16347655,9.99927513,9.835073708,9.670872286,9.506670864,9.342469442,9.17826802,9.014066598
Austria,7.51965614,7.362007251,7.204358362,7.046709473,6.889060584,6.731411695,6.573762806,6.416113918,6.258465029,6.10081614,5.943167251,5.785518362,5.627869473
Azerbaijan,10.77865588,10.29311517,9.80757446,9.322033749,8.836493039,8.350952329,7.865411618,7.379870908,6.894330197,6.408789487,5.923248776,5.437708066,4.952167356
Burundi,42.98914443,42.86136444,42.73358446,42.60580448,42.4780245,42.35024452,42.22246454,42.09468456,41.96690458,41.83912459,41.71134461,41.58356463,41.45578465
