Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,0.117390086,-0.065570714,-0.321673603,-0.666423782,-1.117383161,-1.694343013,-2.419505055,-3.31767114,-4.416441758,-5.746423501,-7.341445698,-9.238786388,-11.47940781
Angola,1.165854871,1.063746282,0.932450779,0.769266304,0.571456211,0.336260434,0.06090715,-0.257375079,-0.621344691,-1.033734049,-1.497235919,-2.014489516,-2.588066118
Albania,2.356691987,2.807861525,3.503235466,4.526022579,5.976380429,7.973502625,10.65785243,14.19354726,18.77089867,24.60911235,31.95915266,41.10677634,52.37573978
Arab World,4.678405287,4.484456985,4.206118917,3.827832189,3.332178505,2.699728926,1.908884587,0.93570912,-0.246247403,-1.666133247,-3.355988723,-5.350949041,-7.689456539
United Arab Emirates,11.72852598,-2.388063762,-24.76705825,-58.17088833,-105.9346951,-172.0404004,-261.1963121,-378.9224473,-531.6417586,-726.7774471,-972.8565461,-1279.61996,-1658.139142
Argentina,4.523946768,4.286832997,3.934293984,3.437022781,2.760533439,1.864538565,0.702281525,-0.780178255,-2.644728356,-4.962016348,-7.812314158,-11.28643536,-15.4867069
Antigua and Barbuda,2.040396836,-1.415457594,-6.521317495,-13.74835894,-23.654746,-36.89587635,-54.23533338,-76.55656652,-104.8753217,-140.3528438,-184.3098734,-238.2414583,-303.832604
Australia,14.91343613,15.05615697,15.55748455,16.54719913,18.18048774,20.64097062,24.14393582,28.93978852,35.31772141,43.60961259,54.19415736,67.50124049,84.01655515
Austria,7.208187132,7.785428058,8.713055204,10.08250195,11.99921979,14.58399581,17.97434083,22.32594984,27.81423634,34.63594227,43.01082527,53.18342473,65.42490849
Burundi,0.051352306,0.053905681,0.055328065,0.055130424,0.052736614,0.047474646,0.038567476,0.02512328,0.006125225,-0.019579283,-0.053289895,-0.09646516,-0.150734923
Belgium,8.833377576,9.368243448,10.12177802,11.12140062,12.39358151,13.96313293,15.85241699,18.08046676,20.66201718,23.6064424,26.91659578,30.58754945,34.60522965
Benin,0.546765671,0.477702576,0.379391062,0.246015261,0.070976068,-0.15318171,-0.434846494,-0.783421473,-1.209410668,-1.724509632,-2.34170093,-3.075354483,-3.941332935
Burkina Faso,0.15444435,0.142029126,0.123953748,0.099319214,0.067166322,0.026477416,-0.023821318,-0.084856978,-0.157806471,-0.243892412,-0.34437836,-0.460563383,-0.593775898
Bangladesh,0.432007353,0.39121969,0.328842959,0.239895044,0.118643219,-0.041470482,-0.247908405,-0.509121015,-0.834635401,-1.235148631,-1.72262612,-2.310405105,-3.013303369
Bulgaria,5.661361646,5.810085598,6.190634029,6.90407063,8.074872927,9.854073614,12.42263711,15.99507909,20.82333668,27.20089711,35.46719255,46.01226884,59.28173586
Bahrain,24.42947065,24.87411217,25.26142691,25.52147329,25.56452079,25.27803356,24.52339873,23.13239001,20.90335697,17.59713074,12.93263655,6.582203729,-1.833436404
"Bahamas, The",7.690713342,7.395372193,6.144670995,3.449759483,-1.307527859,-8.894404598,-20.24852352,-36.50108631,-59.00173185,-89.3452634,-129.4002746,-181.3397348,-247.6735933
Belize,1.055606204,0.714698949,0.226984634,-0.448569842,-1.360457147,-2.565494871,-4.129749889,-6.129523532,-8.652399406,-11.79835566,-15.68094352,-20.42853391,-26.18563399
Bermuda,10.13190949,11.60037605,13.6839586,16.53700877,20.33914532,25.29791793,31.65163629,39.67236902,49.6691172,61.99116691,77.03162568,95.23114721,117.0818491
Bolivia,1.943970406,1.839295008,1.63903318,1.31184546,0.820144953,0.119319191,-0.843104293,-2.128350493,-3.80734939,-5.961750168,-8.684999,-12.08348224,-16.27773684
Brazil,2.751900831,2.782535695,2.775294854,2.7154754,2.585227016,2.363137104,2.023784299,1.537259284,0.868651856,-0.022496869,-1.182778145,-2.665536287,-4.531527421
Barbados,3.619480402,3.029211685,2.326594818,1.504078853,0.554975167,-0.526294759,-1.743928435,-3.100447472,-4.596377892,-6.229904781,-7.996500444,-9.888525237,-11.89480023
Brunei Darussalam,4.446196278,-15.21865797,-44.82972381,-87.36615727,-146.3842729,-226.0891109,-331.4112112,-468.0887638,-642.7553067,-863.0331409,-1137.632633,-1476.457577,-1890.716783
Bhutan,1.349231191,1.257339287,1.062422976,0.730733483,0.22206417,-0.511012943,-1.523963055,-2.881158437,-4.656803905,-6.935919513,-9.815382079,-13.40502717,-17.82881317
Botswana,3.977807695,4.509145755,5.153785237,5.928494957,6.851646655,7.943307713,9.225336364,10.72147937,12.45747215,14.46114146,16.76251039,19.393906,22.39006923
Central African Republic,0.037421913,0.004528749,-0.045156503,-0.116533263,-0.215401114,-0.348564552,-0.523944876,-0.750699451,-1.03934855,-1.401910011,-1.852041917,-2.40519352,-3.078764636
Canada,16.35212934,17.78868911,19.88571812,22.79865979,26.70505996,31.80646825,38.33042888,46.53256249,56.69874076,69.14735543,84.23168341,102.3423496,123.9098894
Central Europe and the Baltics,6.512283872,7.214587357,8.403310546,10.24290639,12.93114683,16.70323314,21.83619586,28.65359326,37.53051749,48.89891747,63.25324751,81.15645081,103.2462868
Switzerland,3.944259062,3.675770787,3.330931428,2.886148945,2.312891998,1.577042771,0.638201229,-0.5510608,-2.045997315,-3.910539215,-6.218200358,-9.053040211,-12.5106847
Chile,4.483045703,4.132830731,3.570483625,2.729667864,1.53071539,-0.12105452,-2.337138737,-5.247780076,-9.004027371,-13.77992979,-19.77486935,-27.21603561,-36.3610465
China,6.317099255,4.969625159,3.03323984,0.378573526,-3.142505313,-7.698704287,-13.48122891,-20.70581489,-29.61487393,-40.4797559,-53.6031305,-69.32149128,-88.00778508
Cote d'Ivoire,0.572294399,0.626229904,0.692344768,0.773043124,0.871100103,0.989697727,1.132462609,1.303505516,1.507462814,1.749539836,2.035556201,2.371993125,2.766042755
