Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Aruba,8.157350029,7.773020573,7.388691118,7.004361662,6.620032207,6.235702751,5.851373296,5.46704384,5.082714385,4.698384929,4.314055474,3.929726018,3.545396563
Afghanistan,39.49412308,39.22416525,38.95420741,38.68424957,38.41429173,38.14433389,37.87437605,37.60441822,37.33446038,37.06450254,36.7945447,36.52458686,36.25462902
Angola,44.68642011,44.47708192,44.26774374,44.05840555,43.84906737,43.63972919,43.430391,43.22105282,43.01171463,42.80237645,42.59303826,42.38370008,42.17436189
Albania,8.246084632,7.72597587,7.205867108,6.685758347,6.165649585,5.645540823,5.125432061,4.6053233,4.085214538,3.565105776,3.044997014,2.524888253,2.004779491
Arab World,23.07384875,22.62931335,22.18477796,21.74024257,21.29570718,20.85117179,20.4066364,19.962101,19.51756561,19.07303022,18.62849483,18.18395944,17.73942405
United Arab Emirates,6.041685362,5.376425719,4.711166077,4.045906434,3.380646791,2.715387148,2.050127505,1.384867862,0.719608219,0.054348576,-0.610911067,-1.276170709,-1.941430352
Argentina,17.58427318,17.45672896,17.32918474,17.20164052,17.07409631,16.94655209,16.81900787,16.69146365,16.56391944,16.43637522,16.308831,16.18128678,16.05374257
Armenia,10.50746993,10.16394232,9.820414708,9.476887096,9.133359484,8.789831872,8.44630426,8.102776648,7.759249036,7.415721424,7.072193812,6.7286662,6.385138588
Antigua and Barbuda,13.8491909,13.553309,13.2574271,12.9615452,12.6656633,12.3697814,12.07389951,11.77801761,11.48213571,11.18625381,10.89037191,10.59449001,10.29860812
Australia,11.07796655,10.91614426,10.75432197,10.59249968,10.43067739,10.2688551,10.10703281,9.945210515,9.783388224,9.621565933,9.459743642,9.297921351,9.13609906
Austria,7.68106806,7.527533255,7.373998449,7.220463643,7.066928838,6.913394032,6.759859226,6.606324421,6.452789615,6.299254809,6.145720004,5.992185198,5.838650392
Azerbaijan,11.12759465,10.65093918,10.17428371,9.697628237,9.220972766,8.744317295,8.267661824,7.791006354,7.314350883,6.837695412,6.361039942,5.884384471,5.407729
Burundi,42.92711622,42.79774144,42.66836665,42.53899187,42.40961708,42.28024229,42.15086751,42.02149272,41.89211794,41.76274315,41.63336836,41.50399358,41.37461879
Belgium,9.980178317,9.888390089,9.796601861,9.704813633,9.613025406,9.521237178,9.42944895,9.337660723,9.245872495,9.154084267,9.062296039,8.970507812,8.878719584
Benin,39.23952137,39.07525325,38.91098512,38.746717,38.58244888,38.41818075,38.25391263,38.0896445,37.92537638,37.76110826,37.59684013,37.43257201,37.26830388
Burkina Faso,42.56970074,42.44632472,42.32294871,42.1995727,42.07619669,41.95282067,41.82944466,41.70606865,41.58269264,41.45931662,41.33594061,41.2125646,41.08918859
Bangladesh,17.21016318,16.5817859,15.95340861,15.32503133,14.69665404,14.06827676,13.43989947,12.81152219,12.1831449,11.55476762,10.92639033,10.29801305,9.66963576
Bulgaria,7.390679971,7.218300917,7.045921863,6.873542809,6.701163755,6.528784701,6.356405647,6.184026592,6.011647538,5.839268484,5.66688943,5.494510376,5.322131322
Bahrain,12.24868217,11.68465504,11.1206279,10.55660076,9.992573621,9.428546483,8.864519344,8.300492206,7.736465067,7.172437929,6.608410791,6.044383652,5.480356514
"Bahamas, The",12.98790942,12.6584832,12.32905699,11.99963077,11.67020456,11.34077834,11.01135213,10.68192591,10.3524997,10.02307348,9.693647267,9.364221052,9.034794837
