Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Aruba,8.336693357,8.395093158,8.453902058,8.513122923,8.572758639,8.632812113,8.69328627,8.754184058,8.815508445,8.877262417,8.939448986,9.002071181,9.065132054
Afghanistan,7.495818016,7.299015318,7.107379675,6.920775425,6.73907047,6.562136178,6.389847296,6.222081859,6.058721103,5.899649383,5.744754092,5.593925576,5.447057063
Angola,11.91065743,11.6980127,11.48916438,11.28404469,11.08258707,10.88472614,10.69039768,10.49953863,10.31208705,10.12798209,9.947164025,9.769574159,9.595154862
Albania,5.540118586,5.498262633,5.456722905,5.415497012,5.374582583,5.333977266,5.293678724,5.25368464,5.213992715,5.174600664,5.135506223,5.096707142,5.058201192
Arab World,4.102948224,3.993138994,3.886268642,3.782258514,3.68103206,3.58251478,3.486634167,3.393319654,3.302502563,3.214116055,3.128095079,3.044376325,2.962898177
United Arab Emirates,0.472827153,0.445940678,0.420583054,0.396667347,0.374111563,0.352838375,0.332774848,0.313852198,0.296005551,0.279173722,0.263299004,0.248326975,0.234206303
Argentina,7.43551433,7.408455644,7.381495428,7.354633323,7.327868972,7.30120202,7.274632112,7.248158895,7.221782016,7.195501127,7.169315876,7.143225917,7.117230902
Armenia,9.877157859,9.948523714,10.02040521,10.09280608,10.16573007,10.23918095,10.31316255,10.38767869,10.46273323,10.53833007,10.61447312,10.69116633,10.76841368
Antigua and Barbuda,5.581140138,5.547447203,5.513957669,5.480670309,5.447583903,5.414697236,5.382009105,5.349518309,5.317223657,5.285123966,5.253218059,5.221504765,5.189982922
Australia,6.06090793,6.021599903,5.982546809,5.943746994,5.905198815,5.86690064,5.828850848,5.791047828,5.753489979,5.716175712,5.679103447,5.642271614,5.605678654
Austria,8.764180868,8.698715692,8.633739517,8.56924869,8.505239585,8.441708605,8.378652177,8.316066758,8.253948828,8.192294896,8.131101496,8.070365188,8.010082558
Azerbaijan,4.591486662,4.519361924,4.448370148,4.378493536,4.309714571,4.242016011,4.175380884,4.109792487,4.045234375,3.981690366,3.919144529,3.857581185,3.796984901
Burundi,11.73566578,11.59457242,11.45517538,11.31745425,11.18138888,11.04695938,10.91414608,10.78292953,10.65329055,10.52521017,10.39866965,10.27365048,10.15013437
Belgium,9.280430125,9.230964089,9.181761714,9.132821594,9.084142333,9.035722539,8.987560829,8.939655829,8.892006169,8.844610488,8.797467434,8.750575659,8.703933823
Benin,8.533158498,8.354927012,8.180418236,8.009554411,7.842259408,7.678458684,7.518079253,7.361049657,7.207299927,7.056761557,6.909367472,6.765051996,6.623750828
Burkina Faso,10.02442722,9.841008565,9.660945951,9.484177973,9.310644349,9.1402859,8.973044528,8.808863201,8.647685927,8.489457741,8.334124683,8.181633781,8.031933031
Bangladesh,5.05199053,4.924147611,4.799539816,4.678085277,4.5597042,4.444318811,4.331853301,4.222233783,4.115388236,4.011246464,3.909740047,3.810802296,3.71436821
Bulgaria,16.55551974,16.74459531,16.93583026,17.12924924,17.3248772,17.52273937,17.72286126,17.92526869,18.12998774,18.33704483,18.54646666,18.75828023,18.97251286
