Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Aruba,52.24089078,52.26750817,52.29412557,52.32074296,52.34736035,52.37397775,52.40059514,52.42721253,52.45382992,52.48044732,52.50706471,52.5336821,52.5602995
Afghanistan,48.42348916,48.41409549,48.40470182,48.39530815,48.38591447,48.3765208,48.36712713,48.35773346,48.34833979,48.33894611,48.32955244,48.32015877,48.3107651
Angola,50.99558255,50.98983482,50.98408708,50.97833935,50.97259161,50.96684388,50.96109614,50.95534841,50.94960068,50.94385294,50.93810521,50.93235747,50.92660974
Albania,50.06121786,50.09206884,50.12291981,50.15377079,50.18462177,50.21547275,50.24632373,50.27717471,50.30802569,50.33887667,50.36972765,50.40057863,50.43142961
Arab World,48.31202268,48.2863295,48.26063633,48.23494316,48.20924999,48.18355681,48.15786364,48.13217047,48.1064773,48.08078412,48.05509095,48.02939778,48.00370461
United Arab Emirates,25.5397913,25.27743805,25.0150848,24.75273156,24.49037831,24.22802506,23.96567182,23.70331857,23.44096532,23.17861208,22.91625883,22.65390558,22.39155234
Argentina,51.54791919,51.5802961,51.61267301,51.64504991,51.67742682,51.70980373,51.74218064,51.77455755,51.80693446,51.83931136,51.87168827,51.90406518,51.93644209
Armenia,53.27682669,53.31819152,53.35955635,53.40092118,53.44228601,53.48365084,53.52501567,53.5663805,53.60774533,53.64911016,53.69047499,53.73183982,53.77320465
Antigua and Barbuda,51.93057522,51.92787871,51.92518221,51.9224857,51.91978919,51.91709269,51.91439618,51.91169967,51.90900316,51.90630666,51.90361015,51.90091364,51.89821713
Australia,50.26657395,50.2761097,50.28564544,50.29518119,50.30471694,50.31425268,50.32378843,50.33332418,50.34285992,50.35239567,50.36193142,50.37146717,50.38100291
Austria,50.82919535,50.78322829,50.73726123,50.69129416,50.6453271,50.59936004,50.55339298,50.50742591,50.46145885,50.41549179,50.36952472,50.32355766,50.2775906
Azerbaijan,50.35765654,50.33424952,50.3108425,50.28743548,50.26402846,50.24062144,50.21721442,50.19380739,50.17040037,50.14699335,50.12358633,50.10017931,50.07677229
Burundi,50.76798716,50.75161216,50.73523716,50.71886216,50.70248716,50.68611216,50.66973716,50.65336216,50.63698716,50.62061216,50.60423716,50.58786216,50.57148716
Belgium,50.96138305,50.96032707,50.95927109,50.95821512,50.95715914,50.95610316,50.95504718,50.9539912,50.95293523,50.95187925,50.95082327,50.94976729,50.94871131
Benin,50.03632817,49.99510136,49.95387455,49.91264774,49.87142093,49.83019412,49.78896731,49.7477405,49.70651369,49.66528689,49.62406008,49.58283327,49.54160646
Burkina Faso,50.87141416,50.88187292,50.89233169,50.90279046,50.91324922,50.92370799,50.93416676,50.94462552,50.95508429,50.96554306,50.97600182,50.98646059,50.99691936
Bangladesh,49.4252425,49.44092515,49.45660781,49.47229046,49.48797311,49.50365576,49.51933842,49.53502107,49.55070372,49.56638637,49.58206902,49.59775168,49.61343433
Bulgaria,51.6113139,51.64315572,51.67499754,51.70683936,51.73868118,51.770523,51.80236482,51.83420663,51.86604845,51.89789027,51.92973209,51.96157391,51.99341573
Bahrain,38.00095733,37.85588631,37.71081529,37.56574426,37.42067324,37.27560222,37.13053119,36.98546017,36.84038915,36.69531813,36.5502471,36.40517608,36.26010506
"Bahamas, The",50.89175932,50.89242162,50.89308392,50.89374621,50.89440851,50.8950708,50.8957331,50.89639539,50.89705769,50.89771999,50.89838228,50.89904458,50.89970687
Bosnia and Herzegovina,50.85412266,50.8571321,50.86014155,50.863151,50.86616045,50.86916989,50.87217934,50.87518879,50.87819824,50.88120768,50.88421713,50.88722658,50.89023603
Belarus,52.99196891,52.97242851,52.9528881,52.93334769,52.91380728,52.89426688,52.87472647,52.85518606,52.83564565,52.81610524,52.79656484,52.77702443,52.75748402
Belize,49.66890593,49.66000191,49.6510979,49.64219388,49.63328987,49.62438586,49.61548184,49.60657783,49.59767382,49.5887698,49.57986579,49.57096178,49.56205776
Bolivia,49.74117714,49.73213743,49.72309771,49.714058,49.70501828,49.69597857,49.68693885,49.67789914,49.66885943,49.65981971,49.65078,49.64174028,49.63270057
Brazil,50.81910866,50.83218713,50.84526559,50.85834406,50.87142253,50.884501,50.89757947,50.91065794,50.92373641,50.93681488,50.94989335,50.96297182,50.97605029
Barbados,51.36786987,51.32973839,51.29160691,51.25347544,51.21534396,51.17721248,51.13908101,51.10094953,51.06281806,51.02468658,50.9865551,50.94842363,50.91029215
Brunei Darussalam,48.35096107,48.35785247,48.36474388,48.37163528,48.37852668,48.38541809,48.39230949,48.3992009,48.4060923,48.41298371,48.41987511,48.42676652,48.43365792
Bhutan,47.25253095,47.21452682,47.17652268,47.13851854,47.10051441,47.06251027,47.02450614,46.986502,46.94849786,46.91049373,46.87248959,46.83448545,46.79648132
Botswana,50.07980357,50.04082056,50.00183756,49.96285456,49.92387155,49.88488855,49.84590555,49.80692254,49.76793954,49.72895654,49.68997353,49.65099053,49.61200753
Central African Republic,50.70375292,50.70013647,50.69652003,50.69290358,50.68928713,50.68567068,50.68205424,50.67843779,50.67482134,50.6712049,50.66758845,50.663972,50.66035555
Canada,50.65914445,50.67468169,50.69021892,50.70575616,50.7212934,50.73683064,50.75236787,50.76790511,50.78344235,50.79897958,50.81451682,50.83005406,50.84559129
Central Europe and the Baltics,51.68395211,51.69085979,51.69776747,51.70467516,51.71158284,51.71849053,51.72539821,51.7323059,51.73921358,51.74612127,51.75302895,51.75993664,51.76684432
Switzerland,50.76496744,50.75271559,50.74046374,50.7282119,50.71596005,50.7037082,50.69145635,50.6792045,50.66695266,50.65470081,50.64244896,50.63019711,50.61794526
Channel Islands,50.63829451,50.61946672,50.60063893,50.58181115,50.56298336,50.54415557,50.52532779,50.5065,50.48767221,50.46884442,50.45001664,50.43118885,50.41236106
Chile,50.45234421,50.44493886,50.43753351,50.43012817,50.42272282,50.41531748,50.40791213,50.40050679,50.39310144,50.3856961,50.37829075,50.37088541,50.36348006
China,48.57726509,48.57586164,48.57445819,48.57305473,48.57165128,48.57024783,48.56884437,48.56744092,48.56603746,48.56463401,48.56323056,48.5618271,48.56042365
Cote d'Ivoire,48.7608394,48.77206771,48.78329602,48.79452434,48.80575265,48.81698096,48.82820927,48.83943758,48.85066589,48.8618942,48.87312251,48.88435083,48.89557914
Cameroon,49.87888059,49.86259815,49.8463157,49.83003326,49.81375081,49.79746836,49.78118592,49.76490347,49.74862102,49.73233858,49.71605613,49.69977369,49.68349124
"Congo, Dem. Rep.",49.82766744,49.79248147,49.75729551,49.72210954,49.68692357,49.65173761,49.61655164,49.58136568,49.54617971,49.51099374,49.47580778,49.44062181,49.40543584
"Congo, Rep.",49.93597019,49.92876329,49.92155639,49.9143495,49.9071426,49.8999357,49.89272881,49.88552191,49.87831501,49.87110812,49.86390122,49.85669432,49.84948743
Colombia,50.71898679,50.72923564,50.7394845,50.74973335,50.75998221,50.77023106,50.78047992,50.79072878,50.80097763,50.81122649,50.82147534,50.8317242,50.84197306
Comoros,49.48273732,49.46887108,49.45500485,49.44113861,49.42727237,49.41340614,49.3995399,49.38567366,49.37180742,49.35794119,49.34407495,49.33020871,49.31634248
Cabo Verde,50.56111341,50.50877518,50.45643694,50.40409871,50.35176048,50.29942225,50.24708401,50.19474578,50.14240755,50.09006932,50.03773108,49.98539285,49.93305462
Costa Rica,50.05090161,50.06704942,50.08319723,50.09934504,50.11549285,50.13164066,50.14778847,50.16393628,50.18008408,50.19623189,50.2123797,50.22852751,50.24467532
Caribbean small states,50.15866863,50.14394404,50.12921945,50.11449486,50.09977027,50.08504569,50.0703211,50.05559651,50.04087192,50.02614734,50.01142275,49.99669816,49.98197357
Cuba,50.0863907,50.10473449,50.12307828,50.14142207,50.15976586,50.17810965,50.19645344,50.21479723,50.23314102,50.25148481,50.2698286,50.28817239,50.30651618
Curacao,54.36184833,54.43831411,54.51477988,54.59124566,54.66771143,54.74417721,54.82064298,54.89710875,54.97357453,55.0500403,55.12650608,55.20297185,55.27943763
Cyprus,49.36168094,49.34294885,49.32421676,49.30548467,49.28675258,49.26802049,49.2492884,49.23055631,49.21182422,49.19309213,49.17436004,49.15562795,49.13689586
Czech Republic,51.05882491,51.04911556,51.03940621,51.02969685,51.0199875,51.01027815,51.00056879,50.99085944,50.98115009,50.97144073,50.96173138,50.95202203,50.94231268
Germany,50.56888764,50.52324554,50.47760344,50.43196134,50.38631925,50.34067715,50.29503505,50.24939295,50.20375085,50.15810876,50.11246666,50.06682456,50.02118246
Djibouti,49.57656051,49.56688885,49.55721718,49.54754552,49.53787386,49.5282022,49.51853054,49.50885888,49.49918722,49.48951556,49.47984389,49.47017223,49.46050057
Denmark,50.47557712,50.47507693,50.47457673,50.47407653,50.47357634,50.47307614,50.47257594,50.47207575,50.47157555,50.47107536,50.47057516,50.47007496,50.46957477
Dominican Republic,50.15991922,50.17430737,50.18869553,50.20308369,50.21747184,50.23186,50.24624816,50.26063632,50.27502447,50.28941263,50.30380079,50.31818895,50.3325771
Algeria,49.34848435,49.3420837,49.33568305,49.32928241,49.32288176,49.31648111,49.31008046,49.30367982,49.29727917,49.29087852,49.28447787,49.27807723,49.27167658
East Asia & Pacific (excluding high income),49.07150116,49.07104879,49.07059642,49.07014405,49.06969167,49.0692393,49.06878693,49.06833456,49.06788219,49.06742982,49.06697745,49.06652507,49.0660727
Early-demographic dividend,49.10338304,49.10519043,49.10699781,49.10880519,49.11061257,49.11241996,49.11422734,49.11603472,49.11784211,49.11964949,49.12145687,49.12326425,49.12507164
East Asia & Pacific,49.23169399,49.23160933,49.23152466,49.23143999,49.23135533,49.23127066,49.23118599,49.23110133,49.23101666,49.23093199,49.23084733,49.23076266,49.23067799
Europe & Central Asia (excluding high income),51.8497858,51.82712168,51.80445757,51.78179346,51.75912934,51.73646523,51.71380112,51.69113701,51.66847289,51.64580878,51.62314467,51.60048055,51.57781644
Europe & Central Asia,51.38335895,51.36747229,51.35158564,51.33569899,51.31981233,51.30392568,51.28803902,51.27215237,51.25626572,51.24037906,51.22449241,51.20860576,51.1927191
