Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,115.2793087,116.3608592,117.4424096,118.52396,119.6055104,120.6870608,121.7686112,122.8501617,123.9317121,125.0132625,126.0948129,127.1763633,128.2579137
Angola,141.823378,144.3579235,146.892469,149.4270145,151.96156,154.4961055,157.030651,159.5651965,162.099742,164.6342875,167.168833,169.7033785,172.237924
Albania,129.7883707,131.693037,133.5977034,135.5023697,137.407036,139.3117023,141.2163686,143.121035,145.0257013,146.9303676,148.8350339,150.7397002,152.6443666
Arab World,120.2439409,122.1723808,124.1008208,126.0292607,127.9577007,129.8861407,131.8145806,133.7430206,135.6714605,137.5999005,139.5283404,141.4567804,143.3852203
United Arab Emirates,114.9253048,117.2010838,119.4768629,121.752642,124.0284211,126.3042002,128.5799793,130.8557584,133.1315375,135.4073166,137.6830957,139.9588748,142.2346539
Argentina,117.591509,119.1587454,120.7259817,122.2932181,123.8604545,125.4276909,126.9949273,128.5621636,130.1294,131.6966364,133.2638728,134.8311092,136.3983455
American Samoa,99.89336324,100.5347363,101.1761094,101.8174825,102.4588556,103.1002287,103.7416018,104.3829749,105.0243479,105.665721,106.3070941,106.9484672,107.5898403
Antigua and Barbuda,86.63922718,86.64019372,86.64116025,86.64212679,86.64309333,86.64405987,86.64502641,86.64599295,86.64695949,86.64792603,86.64889256,86.6498591,86.65082564
Australia,111.9877547,113.2648457,114.5419367,115.8190276,117.0961186,118.3732095,119.6503005,120.9273915,122.2044824,123.4815734,124.7586643,126.0357553,127.3128463
Austria,109.2091954,109.850633,110.4920706,111.1335083,111.7749459,112.4163835,113.0578211,113.6992587,114.3406963,114.982134,115.6235716,116.2650092,116.9064468
Burundi,118.5644096,119.4899405,120.4154713,121.3410022,122.266533,123.1920638,124.1175947,125.0431255,125.9686563,126.8941872,127.819718,128.7452488,129.6707797
Benin,136.7863677,139.244477,141.7025864,144.1606957,146.618805,149.0769143,151.5350236,153.9931329,156.4512423,158.9093516,161.3674609,163.8255702,166.2836795
Burkina Faso,123.0003851,125.0853679,127.1703507,129.2553335,131.3403163,133.425299,135.5102818,137.5952646,139.6802474,141.7652302,143.850213,145.9351958,148.0201786
Bangladesh,127.2364931,129.0849033,130.9333135,132.7817237,134.6301339,136.478544,138.3269542,140.1753644,142.0237746,143.8721848,145.7205949,147.5690051,149.4174153
Bulgaria,109.6940291,108.5822892,107.4705492,106.3588093,105.2470694,104.1353294,103.0235895,101.9118496,100.8001097,99.68836972,98.57662978,97.46488985,96.35314992
Bahrain,161.3234956,163.0748066,164.8261176,166.5774286,168.3287396,170.0800506,171.8313616,173.5826726,175.3339836,177.0852945,178.8366055,180.5879165,182.3392275
"Bahamas, The",123.5162573,125.0716631,126.6270689,128.1824747,129.7378806,131.2932864,132.8486922,134.404098,135.9595038,137.5149096,139.0703155,140.6257213,142.1811271
Belize,110.2800967,112.0978118,113.915527,115.7332421,117.5509573,119.3686724,121.1863875,123.0041027,124.8218178,126.639533,128.4572481,130.2749633,132.0926784
Bermuda,98.94394723,98.67176869,98.39959015,98.1274116,97.85523306,97.58305451,97.31087597,97.03869743,96.76651888,96.49434034,96.22216179,95.94998325,95.67780471
Bolivia,130.6828777,132.8899789,135.0970801,137.3041813,139.5112825,141.7183837,143.9254848,146.132586,148.3396872,150.5467884,152.7538896,154.9609908,157.1680919
Brazil,129.0064481,131.2993967,133.5923453,135.885294,138.1782426,140.4711912,142.7641398,145.0570884,147.350037,149.6429856,151.9359342,154.2288828,156.5218314
Barbados,85.19052058,84.37259028,83.55465999,82.73672969,81.9187994,81.1008691,80.28293881,79.46500851,78.64707822,77.82914792,77.01121763,76.19328733,75.37535704
Brunei Darussalam,140.4142776,143.065712,145.7171463,148.3685807,151.020015,153.6714494,156.3228837,158.9743181,161.6257524,164.2771868,166.9286212,169.5800555,172.2314899
Bhutan,110.1249199,111.8273385,113.5297571,115.2321757,116.9345942,118.6370128,120.3394314,122.04185,123.7442686,125.4466872,127.1491058,128.8515244,130.553943
Botswana,125.3041737,126.8248115,128.3454494,129.8660872,131.3867251,132.9073629,134.4280008,135.9486386,137.4692765,138.9899143,140.5105522,142.03119,143.5518279
Central African Republic,121.5031282,123.2870902,125.0710522,126.8550141,128.6389761,130.4229381,132.2069001,133.990862,135.774824,137.558786,139.342748,141.1267099,142.9106719
Canada,116.1639964,117.6213595,119.0787226,120.5360856,121.9934487,123.4508118,124.9081749,126.3655379,127.822901,129.2802641,130.7376272,132.1949902,133.6523533
Switzerland,108.6611295,108.9631048,109.2650802,109.5670555,109.8690308,110.1710062,110.4729815,110.7749568,111.0769322,111.3789075,111.6808828,111.9828582,112.2848335
Chile,116.5931199,118.4159981,120.2388762,122.0617544,123.8846325,125.7075107,127.5303889,129.353267,131.1761452,132.9990233,134.8219015,136.6447796,138.4676578
China,127.9226502,130.2845075,132.6463649,135.0082223,137.3700797,139.7319371,142.0937945,144.4556519,146.8175093,149.1793667,151.5412241,153.9030814,156.2649388
Cote d'Ivoire,127.2775891,129.3684517,131.4593143,133.5501768,135.6410394,137.731902,139.8227646,141.9136272,144.0044898,146.0953523,148.1862149,150.2770775,152.3679401
Cameroon,139.1259189,141.438559,143.7511991,146.0638392,148.3764793,150.6891194,153.0017595,155.3143996,157.6270397,159.9396798,162.25232,164.5649601,166.8776002
"Congo, Dem. Rep.",120.6690098,121.5900779,122.5111461,123.4322142,124.3532823,125.2743505,126.1954186,127.1164867,128.0375548,128.958623,129.8796911,130.8007592,131.7218274
"Congo, Rep.",123.0813087,124.7830722,126.4848357,128.1865992,129.8883627,131.5901262,133.2918897,134.9936532,136.6954167,138.3971802,140.0989437,141.8007071,143.5024706
Colombia,119.7710952,121.5164834,123.2618716,125.0072598,126.752648,128.4980362,130.2434244,131.9888126,133.7342009,135.4795891,137.2249773,138.9703655,140.7157537
Comoros,116.6992535,118.0884352,119.4776169,120.8667986,122.2559804,123.6451621,125.0343438,126.4235255,127.8127072,129.2018889,130.5910707,131.9802524,133.3694341
Cabo Verde,109.4111143,111.0896327,112.7681511,114.4466695,116.1251879,117.8037063,119.4822247,121.1607431,122.8392615,124.5177799,126.1962983,127.8748167,129.5533351
Costa Rica,126.1287105,128.275059,130.4214076,132.5677561,134.7141047,136.8604532,139.0068017,141.1531503,143.2994988,145.4458474,147.5921959,149.7385444,151.884893
Caribbean small states,110.5298534,111.253687,111.9775206,112.7013543,113.4251879,114.1490215,114.8728552,115.5966888,116.3205224,117.0443561,117.7681897,118.4920233,119.215857
Cuba,114.0702723,114.0701302,114.0699881,114.069846,114.0697039,114.0695618,114.0694197,114.0692776,114.0691355,114.0689934,114.0688513,114.0687092,114.0685671
Cayman Islands,96.53657026,94.66333657,92.79010287,90.91686918,89.04363548,87.17040178,85.29716809,83.42393439,81.5507007,79.677467,77.80423331,75.93099961,74.05776591
Cyprus,100.9532139,101.408795,101.8643761,102.3199572,102.7755383,103.2311194,103.6867005,104.1422816,104.5978627,105.0534438,105.5090249,105.964606,106.4201871
Germany,110.9472908,111.4438575,111.9404243,112.436991,112.9335578,113.4301246,113.9266913,114.4232581,114.9198248,115.4163916,115.9129583,116.4095251,116.9060919
Djibouti,139.3479851,141.7913187,144.2346524,146.677986,149.1213196,151.5646533,154.0079869,156.4513205,158.8946542,161.3379878,163.7813214,166.2246551,168.6679887
Dominica,117.0194622,117.1822345,117.3450068,117.5077792,117.6705515,117.8333238,117.9960961,118.1588685,118.3216408,118.4844131,118.6471854,118.8099578,118.9727301
Denmark,111.5076954,112.3350386,113.1623818,113.989725,114.8170682,115.6444113,116.4717545,117.2990977,118.1264409,118.9537841,119.7811273,120.6084705,121.4358136
Dominican Republic,125.9749834,127.5369018,129.0988201,130.6607384,132.2226567,133.7845751,135.3464934,136.9084117,138.47033,140.0322484,141.5941667,143.156085,144.7180033
Algeria,126.6924606,128.8506917,131.0089228,133.1671539,135.325385,137.4836161,139.6418472,141.8000783,143.9583094,146.1165405,148.2747716,150.4330027,152.5912339
East Asia & Pacific (excluding high income),129.0020956,131.3252889,133.6484822,135.9716754,138.2948687,140.618062,142.9412552,145.2644485,147.5876418,149.9108351,152.2340283,154.5572216,156.8804149
Early-demographic dividend,127.4556142,129.424235,131.3928559,133.3614767,135.3300976,137.2987184,139.2673393,141.2359601,143.204581,145.1732018,147.1418227,149.1104436,151.0790644
East Asia & Pacific,125.7802572,127.9253717,130.0704861,132.2156006,134.360715,136.5058295,138.6509439,140.7960583,142.9411728,145.0862872,147.2314017,149.3765161,151.5216305
