Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,57.85123784,56.3909883,54.9675976,53.58013535,52.22769467,50.90939156,49.62436434,48.37177308,47.15079905,45.96064419,44.80053056,43.6696999,42.56741304
Angola,88.10749274,87.22042552,86.3422893,85.47299416,84.6124511,83.76057199,82.91726961,82.08245761,81.25605051,80.43796368,79.62811336,78.82641662,78.03279138
Albania,15.01721203,14.54447768,14.08662477,13.64318485,13.21370419,12.79774336,12.39487678,12.00469224,11.62679051,11.26078494,10.90630104,10.56297612,10.2304589
United Arab Emirates,2.065981561,1.920636565,1.785516815,1.659902948,1.54312621,1.434564897,1.333641039,1.239817331,1.152594266,1.071507478,0.996125271,0.926046319,0.860897529
Argentina,10.64478874,10.29928626,9.964997896,9.641559678,9.328619433,9.025836424,8.732880973,8.449434103,8.17518719,7.909841627,7.653108499,7.404708268,7.16437047
Armenia,18.99087097,18.49808114,18.0180786,17.55053153,17.09511674,16.65151941,16.21943288,15.79855847,15.38860524,14.98928979,14.60033608,14.22147525,13.85244539
Australia,2.987056139,2.885139755,2.786700691,2.691620303,2.599783995,2.511081081,2.425404652,2.342651447,2.262721726,2.185519154,2.110950683,2.038926439,1.969359615
Austria,2.224382647,2.118524058,2.017703289,1.921680591,1.830227623,1.74312691,1.660171329,1.581163612,1.50591588,1.434249195,1.365993135,1.300985387,1.239071365
Burundi,64.49304281,63.44651152,62.41696234,61.4041197,60.4077125,59.42747403,58.46314194,57.51445811,56.5811686,55.66302363,54.75977743,53.87118824,52.99701823
Belgium,2.42617895,2.323176478,2.224546936,2.130104672,2.039671917,1.953078449,1.870161272,1.790764312,1.714738119,1.641939587,1.572231689,1.505483211,1.441568515
Benin,61.73315823,60.54789074,59.38538021,58.24518972,57.12689071,56.03006287,54.95429397,53.89917967,52.86432341,51.84933623,50.85383666,49.87745054,48.91981088
Burkina Faso,62.19777683,61.16726212,60.15382135,59.15717162,58.17703474,57.21313711,56.26520968,55.33298784,54.41621138,53.5146244,52.62797523,51.75601637,50.89850444
Bangladesh,44.20231985,43.103892,42.03276008,40.9882458,39.9696877,38.97644078,38.00787604,37.06338015,36.14235498,35.24421729,34.36839833,33.51434347,32.68151188
Bulgaria,7.542658327,7.345618063,7.15372517,6.966845182,6.784847145,6.607603524,6.434990118,6.266885969,6.103173282,5.943737334,5.788466404,5.637251687,5.489987219
Bahrain,1.801977406,1.674370364,1.555799815,1.44562584,1.343253836,1.248131306,1.159744879,1.077617537,1.001306044,0.930398549,0.864512369,0.80329192,0.746406797
"Bahamas, The",10.30941948,10.11572212,9.925664026,9.739176813,9.556193394,9.376647939,9.200475852,9.027613755,8.857999458,8.69157194,8.528271326,8.368038867,8.210816918
Belize,12.78170383,12.35607582,11.94462113,11.54686779,11.16235956,10.79065537,10.43132885,10.08396783,9.748173849,9.423561741,9.109759146,8.806406111,8.513154667
Bolivia,35.96583455,34.95876893,33.97990178,33.02844351,32.10362666,31.20470525,30.3309542,29.48166872,28.65616376,27.85377345,27.07385056,26.315766,25.57890827
Brazil,18.59141191,17.95821772,17.34658912,16.75579163,16.18511576,15.63387622,15.10141103,14.58708077,14.09026778,13.61037546,13.14682752,12.69906729,12.26655707
Barbados,5.729495472,5.497121554,5.274172137,5.060264988,4.855033374,4.658125438,4.469203592,4.287943941,4.114035726,3.94718079,3.78709307,3.633498105,3.486132566
Brunei Darussalam,8.770006736,8.714978549,8.660295641,8.605955846,8.551957011,8.498296996,8.444973676,8.391984938,8.339328682,8.287002823,8.235005287,8.183334014,8.131986957
Bhutan,36.58393152,35.46406311,34.37847492,33.32611761,32.30597393,31.31705781,30.35841334,29.42911388,28.52826114,27.65498434,26.80843937,25.98780793,25.19229679
