Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Aruba,76.85014123,77.00531843,77.16049563,77.31567283,77.47085004,77.62602724,77.78120444,77.93638164,78.09155884,78.24673604,78.40191324,78.55709044,78.71226765
Afghanistan,65.8781533,66.47895803,67.07976276,67.68056749,68.28137222,68.88217695,69.48298168,70.08378641,70.68459114,71.28539586,71.88620059,72.48700532,73.08781005
Angola,58.6995789,59.178017,59.65645509,60.13489318,60.61333127,61.09176937,61.57020746,62.04864555,62.52708364,63.00552174,63.48395983,63.96239792,64.44083601
Albania,78.63850374,78.88179785,79.12509196,79.36838606,79.61168017,79.85497428,80.09826839,80.34156249,80.5848566,80.82815071,81.07144481,81.31473892,81.55803303
Arab World,74.7582444,75.20524739,75.65225038,76.09925337,76.54625636,76.99325936,77.44026235,77.88726534,78.33426833,78.78127132,79.22827431,79.67527731,80.1222803
United Arab Emirates,80.89747844,81.29890904,81.70033964,82.10177023,82.50320083,82.90463142,83.30606202,83.70749262,84.10892321,84.51035381,84.9117844,85.313215,85.7146456
Argentina,77.54437165,77.76523113,77.9860906,78.20695007,78.42780954,78.64866901,78.86952848,79.09038796,79.31124743,79.5321069,79.75296637,79.97382584,80.19468531
Armenia,73.44283996,73.54174219,73.64064442,73.73954665,73.83844888,73.93735111,74.03625334,74.13515557,74.23405781,74.33296004,74.43186227,74.5307645,74.62966673
Antigua and Barbuda,77.72217276,77.9677917,78.21341065,78.4590296,78.70464855,78.9502675,79.19588644,79.44150539,79.68712434,79.93274329,80.17836223,80.42398118,80.66960013
Australia,83.51070497,83.75188266,83.99306035,84.23423805,84.47541574,84.71659344,84.95777113,85.19894882,85.44012652,85.68130421,85.9224819,86.1636596,86.40483729
Austria,82.26212488,82.50628865,82.75045243,82.9946162,83.23877998,83.48294375,83.72710753,83.9712713,84.21543507,84.45959885,84.70376262,84.9479264,85.19209017
Azerbaijan,71.1210021,71.30128856,71.48157501,71.66186146,71.84214792,72.02243437,72.20272082,72.38300728,72.56329373,72.74358018,72.92386664,73.10415309,73.28443955
Burundi,56.62212511,56.88713987,57.15215463,57.41716939,57.68218415,57.94719892,58.21221368,58.47722844,58.7422432,59.00725796,59.27227272,59.53728748,59.80230224
Belgium,81.7258623,81.94074135,82.15562041,82.37049946,82.58537851,82.80025757,83.01513662,83.23001568,83.44489473,83.65977379,83.87465284,84.08953189,84.30441095
Benin,63.37207759,63.80159746,64.23111733,64.66063721,65.09015708,65.51967695,65.94919682,66.37871669,66.80823656,67.23775644,67.66727631,68.09679618,68.52631605
Burkina Faso,60.30609753,60.73297986,61.15986218,61.58674451,62.01362683,62.44050915,62.86739148,63.2942738,63.72115613,64.14803845,64.57492078,65.0018031,65.42868542
Bangladesh,73.78696217,74.30762717,74.82829216,75.34895716,75.86962215,76.39028715,76.91095214,77.43161714,77.95228213,78.47294712,78.99361212,79.51427711,80.03494211
Bulgaria,73.62256301,73.68561479,73.74866656,73.81171833,73.8747701,73.93782187,74.00087365,74.06392542,74.12697719,74.19002896,74.25308073,74.31613251,74.37918428
Bahrain,80.62740007,80.99432889,81.3612577,81.72818652,82.09511534,82.46204415,82.82897297,83.19590179,83.5628306,83.92975942,84.29668823,84.66361705,85.03054587
"Bahamas, The",76.5502955,76.77150365,76.99271179,77.21391994,77.43512809,77.65633623,77.87754438,78.09875253,78.31996067,78.54116882,78.76237697,78.98358511,79.20479326
Bosnia and Herzegovina,78.45938622,78.71792766,78.9764691,79.23501054,79.49355198,79.75209342,80.01063485,80.26917629,80.52771773,80.78625917,81.04480061,81.30334205,81.56188348
Belarus,70.89293174,70.92254715,70.95216256,70.98177797,71.01139338,71.04100879,71.0706242,71.10023961,71.12985502,71.15947043,71.18908585,71.21870126,71.24831667
Belize,71.78851833,71.91046109,72.03240385,72.15434661,72.27628937,72.39823213,72.52017489,72.64211765,72.76406041,72.88600317,73.00794593,73.12988869,73.25183145
Bermuda,81.566876,81.80575421,82.04463241,82.28351062,82.52238883,82.76126704,83.00014524,83.23902345,83.47790166,83.71677986,83.95565807,84.19453628,84.43341449
Bolivia,69.77917896,70.28174142,70.78430389,71.28686636,71.78942882,72.29199129,72.79455375,73.29711622,73.79967869,74.30224115,74.80480362,75.30736608,75.80992855
Brazil,76.49908181,76.87400392,77.24892604,77.62384816,77.99877028,78.3736924,78.74861452,79.12353664,79.49845875,79.87338087,80.24830299,80.62322511,80.99814723
Barbados,77.5699058,77.82069513,78.07148445,78.32227378,78.57306311,78.82385243,79.07464176,79.32543108,79.57622041,79.82700974,80.07779906,80.32858839,80.57937771
Brunei Darussalam,79.30573555,79.56154832,79.8173611,80.07317388,80.32898665,80.58479943,80.84061221,81.09642498,81.35223776,81.60805054,81.86386332,82.11967609,82.37548887
Bhutan,72.57240886,73.25879268,73.94517649,74.63156031,75.31794413,76.00432795,76.69071177,77.37709559,78.06347941,78.74986323,79.43624704,80.12263086,80.80901468
Botswana,59.59206407,59.67496454,59.75786502,59.8407655,59.92366597,60.00656645,60.08946693,60.1723674,60.25526788,60.33816836,60.42106884,60.50396931,60.58686979
Central African Republic,50.07233194,50.22168334,50.37103474,50.52038615,50.66973755,50.81908896,50.96844036,51.11779176,51.26714317,51.41649457,51.56584598,51.71519738,51.86454878
Canada,82.86350555,83.07060981,83.27771408,83.48481834,83.6919226,83.89902687,84.10613113,84.3132354,84.52033966,84.72744392,84.93454819,85.14165245,85.34875671
Central Europe and the Baltics,75.66768597,75.80536598,75.94304599,76.080726,76.21840601,76.35608602,76.49376603,76.63144604,76.76912605,76.90680606,77.04448607,77.18216608,77.31984609
Switzerland,83.84973166,84.0705495,84.29136733,84.51218516,84.733003,84.95382083,85.17463867,85.3954565,85.61627434,85.83709217,86.05791,86.27872784,86.49954567
Channel Islands,81.31515527,81.51280168,81.71044809,81.90809449,82.1057409,82.30338731,82.50103372,82.69868013,82.89632654,83.09397295,83.29161936,83.48926577,83.68691217
Chile,83.15803316,83.56843055,83.97882793,84.38922531,84.7996227,85.21002008,85.62041746,86.03081485,86.44121223,86.85160962,87.262007,87.67240438,88.08280177
China,80.90389218,81.39383417,81.88377616,82.37371815,82.86366014,83.35360213,83.84354412,84.33348611,84.82342811,85.3133701,85.80331209,86.29325408,86.78319607
Cote d'Ivoire,53.26530899,53.44391561,53.62252222,53.80112884,53.97973546,54.15834207,54.33694869,54.51555531,54.69416192,54.87276854,55.05137516,55.22998177,55.40858839
Cameroon,57.03468059,57.25615135,57.47762212,57.69909288,57.92056364,58.1420344,58.36350517,58.58497593,58.80644669,59.02791745,59.24938821,59.47085898,59.69232974
"Congo, Dem. Rep.",57.97992817,58.28495321,58.58997824,58.89500328,59.20002831,59.50505335,59.81007838,60.11510341,60.42012845,60.72515348,61.03017852,61.33520355,61.64022859
"Congo, Rep.",59.81177213,59.96331204,60.11485195,60.26639186,60.41793176,60.56947167,60.72101158,60.87255149,61.0240914,61.17563131,61.32717122,61.47871112,61.63025103
Colombia,76.29750951,76.60819482,76.91888012,77.22956542,77.54025072,77.85093602,78.16162133,78.47230663,78.78299193,79.09367723,79.40436253,79.71504784,80.02573314
Comoros,66.18720165,66.59922134,67.01124103,67.42326073,67.83528042,68.24730011,68.65931981,69.0713395,69.48335919,69.89537889,70.30739858,70.71941827,71.13143797
Cabo Verde,76.63642425,77.08806925,77.53971426,77.99135927,78.44300427,78.89464928,79.34629429,79.79793929,80.2495843,80.70122931,81.15287431,81.60451932,82.05616433
Costa Rica,82.72176484,83.04608826,83.37041167,83.69473508,84.0190585,84.34338191,84.66770533,84.99202874,85.31635215,85.64067557,85.96499898,86.28932239,86.61364581
Caribbean small states,73.69946425,73.86443197,74.02939969,74.19436742,74.35933514,74.52430286,74.68927059,74.85423831,75.01920603,75.18417376,75.34914148,75.5141092,75.67907693
Cuba,81.22781902,81.47114603,81.71447303,81.95780003,82.20112704,82.44445404,82.68778105,82.93110805,83.17443505,83.41776206,83.66108906,83.90441606,84.14774307
Cyprus,81.19938585,81.37967129,81.55995672,81.74024216,81.92052759,82.10081303,82.28109846,82.4613839,82.64166933,82.82195477,83.0022402,83.18252564,83.36281107
Czech Republic,77.902047,78.07056631,78.23908561,78.40760492,78.57612422,78.74464353,78.91316283,79.08168214,79.25020144,79.41872075,79.58724005,79.75575936,79.92427866
Germany,81.62999801,81.85470251,82.07940701,82.30411151,82.52881601,82.75352051,82.978225,83.2029295,83.427634,83.6523385,83.877043,84.1017475,84.32645199
Djibouti,63.2404879,63.53068095,63.82087399,64.11106704,64.40126008,64.69145312,64.98164617,65.27183921,65.56203226,65.8522253,66.14241834,66.43261139,66.72280443
Denmark,79.77036361,79.9128888,80.055414,80.19793919,80.34046438,80.48298957,80.62551476,80.76803995,80.91056514,81.05309033,81.19561552,81.33814071,81.48066591
Dominican Republic,76.76719331,77.14732902,77.52746474,77.90760046,78.28773617,78.66787189,79.04800761,79.42814332,79.80827904,80.18841476,80.56855047,80.94868619,81.32882191
Algeria,80.2317256,80.81750824,81.40329087,81.9890735,82.57485614,83.16063877,83.7464214,84.33220404,84.91798667,85.5037693,86.08955193,86.67533457,87.2611172
East Asia & Pacific (excluding high income),78.55705384,79.00091957,79.44478531,79.88865104,80.33251678,80.77638252,81.22024825,81.66411399,82.10797972,82.55184546,82.99571119,83.43957693,83.88344266
Early-demographic dividend,71.87986718,72.31018869,72.7405102,73.17083171,73.60115321,74.03147472,74.46179623,74.89211774,75.32243924,75.75276075,76.18308226,76.61340377,77.04372527
East Asia & Pacific,79.08098183,79.49964169,79.91830155,80.33696142,80.75562128,81.17428114,81.592941,82.01160087,82.43026073,82.84892059,83.26758045,83.68624032,84.10490018
Europe & Central Asia (excluding high income),71.17612145,71.29724798,71.41837451,71.53950104,71.66062757,71.7817541,71.90288063,72.02400716,72.14513369,72.26626022,72.38738675,72.50851328,72.62963981
Europe & Central Asia,76.79343726,76.96127131,77.12910535,77.29693939,77.46477344,77.63260748,77.80044152,77.96827557,78.13610961,78.30394366,78.4717777,78.63961174,78.80744579
Ecuador,79.53831787,79.97362496,80.40893205,80.84423915,81.27954624,81.71485333,82.15016042,82.58546752,83.02077461,83.4560817,83.8913888,84.32669589,84.76200298
"Egypt, Arab Rep.",75.19882767,75.6505109,76.10219413,76.55387736,77.00556059,77.45724382,77.90892704,78.36061027,78.8122935,79.26397673,79.71565996,80.16734319,80.61902642
Euro area,82.43010706,82.6619404,82.89377373,83.12560707,83.3574404,83.58927374,83.82110707,84.05294041,84.28477374,84.51660708,84.74844041,84.98027375,85.21210708
Eritrea,64.39923039,64.85802838,65.31682637,65.77562436,66.23442236,66.69322035,67.15201834,67.61081633,68.06961432,68.52841231,68.9872103,69.44600829,69.90480628
Spain,83.72942825,83.97248424,84.21554022,84.45859621,84.70165219,84.94470818,85.18776416,85.43082015,85.67387613,85.91693212,86.1599881,86.40304409,86.64610007
Estonia,74.44331477,74.56545233,74.68758988,74.80972743,74.93186499,75.05400254,75.1761401,75.29827765,75.4204152,75.54255276,75.66469031,75.78682786,75.90896542
Ethiopia,62.29285359,62.73534307,63.17783255,63.62032204,64.06281152,64.50530101,64.94779049,65.39027998,65.83276946,66.27525895,66.71774843,67.16023791,67.6027274
European Union,81.05468722,81.26411827,81.47354932,81.68298037,81.89241143,82.10184248,82.31127353,82.52070458,82.73013563,82.93956668,83.14899774,83.35842879,83.56785984
Fragile and conflict affected situations,63.65564638,64.01261115,64.36957591,64.72654068,65.08350544,65.44047021,65.79743497,66.15439974,66.5113645,66.86832927,67.22529403,67.5822588,67.93922356
Finland,82.00676709,82.24594404,82.48512099,82.72429794,82.96347489,83.20265184,83.44182879,83.68100574,83.92018268,84.15935963,84.39853658,84.63771353,84.87689048
Fiji,71.7185557,71.96462071,72.21068572,72.45675073,72.70281574,72.94888075,73.19494576,73.44101077,73.68707578,73.93314079,74.17920579,74.4252708,74.67133581
